# functions.txt — orchestrator-common.sh definition census (GENERATED, Part 0)
# Source: /Users/craigperler/Development/heysoo/.claude/scripts/lib/orchestrator-common.sh
# Pattern (digit + indent inclusive): ^[[:space:]]*(function[[:space:]]+)?[A-Za-z_][A-Za-z0-9_]*[[:space:]]*\(\)
# 79 definitions = 77 top-level + 2 nested. owner ∈ {2a,2b}; this is a TRUE PARTITION (each owned once).
# Totals: 2a = 39 (38 top-level + 1 nested) | 2b = 40 (39 top-level + 1 nested).
# Nested defs inherit their parent's owner, listed explicitly as [nested:<parent>].
#
# LINE   OWNER  FUNCTION
55       2a     get_stage_model
73       2a     get_subtask_implementation_timeout
89       2a     run_stage_with_timeout
156      2a     is_codex_eligible_stage
173      2a     get_orchestrator_provider
191      2a     should_use_codex
242      2a     run_provider_oneshot
334      2a     parse_task_tags
373      2a     normalize_task_id
384      2a     is_github_issue
389      2a     issue_number
397      2a     hash_file_sha256
414      2a     dependency_hash_matches
427      2a     write_dependency_hash
436      2a     install_frontend_dependencies
457      2a     sync_python_project_dependencies
480      2a     install_python_dependencies
497      2a     run_setup_stage
525      2a     run_setup_stage_micro
553      2b     log
562      2b     log_error
571      2b     next_stage_log
590      2b     skip_stage
620      2b     init_status
682      2b     update_stage
709      2b     set_stage_started
723      2b     set_stage_completed
737      2b     update_task
771      2b     set_tasks
783      2b     set_worktree_info
793      2b     set_final_state
814      2b     emit_failure_retrospective
870      2b     detect_failure_patterns
912      2b     increment_quality_iteration
920      2b     increment_test_iteration
928      2b     set_substage
944      2b     clear_substage
950      2b     increment_pr_review_iteration
965      2b     review_has_only_minor_issues
985      2b     detect_convergence
1036     2b     detect_force_push_remediation
1071     2b     get_task_modified_files
1093     2b     evaluate_api_contract_review_scope
1201     2b     evaluate_e2e_policy                       # Hey Soo!-coupling: E2E-policy (tests/e2e/*.spec.ts)
1277     2b     merge_e2e_policy_review_finding           # Hey Soo!-coupling: E2E-policy
1324     2b     validate_resume_status
1358     2b     load_resume_state
1413     2b     is_stage_completed
1421     2b     get_completed_task_count
1426     2b     validate_worktree
1442     2b     claim_orchestrator_worktree
1464     2b     sync_status_to_log
1491     2b     set_normal_exit
1512     2a     orchestrator_cleanup
1639     2a     register_orchestrator_traps
1642     2a     _orchestrator_signal_handler              # [nested:register_orchestrator_traps]
1673     2b     comment_issue
1697     2b     comment_pr
1731     2b     upsert_pr_section
1795     2a     cleanup_stale_processes
1863     2a     triage_and_dispatch_e2e_fixes             # Hey Soo!-coupling: E2E-policy
1977     2a     detect_rate_limit
2024     2a     check_capacity
2060     2a     calculate_capacity_sleep
2095     2a     capacity_wait_loop
2142     2a     try_capacity_model_fallback
2172     2a     extract_wait_time
2223     2a     handle_rate_limit
2240     2a     extract_markdown_from_log
2376     2a     check_git_for_committed_work
2399     2a     run_claude_streaming
2469     2a     run_codex_stage
2653     2a     record_stage_invocation
2704     2a     emit_cost_summary
2810     2a     render_stage_prompt
2848     2a     run_stage
3302     2b     run_quality_loop
3588     2b     run_test_loop
3611     2b     check_failure_signature_plateau           # [nested:run_test_loop]  CIRCUIT-BREAKER logic
